model,category,deler,lagerplass,antall,lagerkode,utpris_m_mva,evt_bestilltid,leverandor,delenummer_oem,leverandor_pa_lager,oem_alt,link,webshop_done,compatibility_status,manual_compatibility_override,created_at,updated_at
Understell B2/B3,Bremsedeler,Bremsskjold B2/3,B4-3A,2,"Polcar 14,5",435.-,,Polcar,321 615 312A,Polcar 13030T-1,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Bremsedeler,Bremsskjold B2/3,B4-3A,2,"Polcars 14,5",435.-,,Polcar,321 615 311A,Polcar 13030T-2,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Bremsedeler,Bremsekalipre B3,A3-5D,1,PC 75,"1315,-",,SRL,853 615 424A + 853 615 424AX,Polcar SRLine S78-1173,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Bremsedeler,Bremsekaliper B3,A3-5E,1,PC75,1315.-,,SRL,853 615 423A + 853 615 423AX,Polcar SRLine  S78-1172,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Bremsedeler,Bremseskiver bak B2-B3,B2-3A,2,PC 287,894 par,,SRL,853 615 601 + 8A0 615 601,Polcar SRL S71-1443,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Bremsedeler,Masterpumpe,A4-2C,1,"ATE 110,3",2050-50%,,ATE,443611019+443611019A,Autoplartner,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Bremsedeler,kaliper v f B2B3B4,A3-5C,2,Vika 32,539.-,,Vika,357615124A+AX+443615124+A,Vika,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Bremsedeler,kaliperh f B2B3B4,A3-5F,0,SRL,893.-,,SRL,853615423A + AX,SRL S78-1172,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
,,Audi B4,,0,,,,,,,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Audi B4,Belysning/elektris,Blinklys S2/RS2,A4-1A,1,Opcar 85,1930 sett,,Polcar,,Polcar 5812191E,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Audi B4,Belysning/elektris,tåkelys h S2/90,A4-1C,1,PC 51,980.-,,Polcar/Depo,893941700+8A0941700,131030E,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Audi B4,Belysning/elektris,tåkelys v S2/90,A4-1D,1,PC51,"980,-",,Polcar/Depo,893941699+8A0941699,131029E,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Audi B4,Belysning/elektris,eldel tennlås,,2,PC40,135.-,2 bestilt,,111905865L-171905865,Meyle 1009050014,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
,,Audi A4 B6/B7,,0,,,,,,,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Audi A4 B6/B7,Servicedeler,luftfilter,C1-1A,1,PC8,186.-,,SRL/Maxgear,06C133843+FA3068,SRL S11-4025,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
,,LANDCRUISER,,0,,,,,,,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Landcruiser,,150,,0,,,,,,,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Landcruiser,Bremsedeler,Bremseskiver fram,,0,,,,,,,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Landcruiser,Bremsedeler,Bremseskiver bak,,0,,,,,,,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Landcruiser,Bremsedeler,Bremsekloss fram,,0,,,,,,,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Landcruiser,Bremsedeler,Bremsekloss bak,,0,,,,,,,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Landcruiser,Servicedeler,Luftfilter,C1-2C,0,"5AP4,5",189,,Maxgear,17801-30040+30080+30040,Maxgear AF-8170,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Landcruiser,Servicedeler,Oljefilter,C2-2B,5,AP3,98,,Maxgear,se autopartner  Landcruiser + fler+,Maxgear OF-994,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Landcruiser,Servicedeler,Coupefilter,C2-2A,4,"AP3,5",128,,Maxgear,Subaru+Toyota se OEM,Maxgear KF-6188,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Landcruiser,Servicedeler,dieselfilter,C1-2D,5,AP4,146,,Maxgear,Toyota+Daihatsu+Ford+GMC+,,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Landcruiser 120,,LC 120,,0,,,,,,,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Landcruiser 120,Bremsedeler,kaliper bak h,C1-3B,1,AP30,1067.-,,Maxgear,47730-34030 Landcr + Lexus,Maxfear 82-0460,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Landcruiser 120,Bremsedeler,kaliper bak v,C1-3A,1,AP30,1067.-,,Maxgear,47750-34030 Landcr + Lexus,Maxgear 82-0459,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Landcruiser 120,Bremsedeler,kaliper foran h,C1-3C,1,"AP4,7",1281.-,,Maxgear,47730 60130 + 60261,Maxgear 82-0788,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Landcruiser 120,Bremsedeler,kaliper foran v,C2-3A,1,AP4.7,1281.-,,Maxgear,47750 60130 + 60261,Maxgear 82-0787,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Landcruiser 120,Bremsedeler,skiver bak,C2-4A,2,AP23par,792 par,,Maxgear,42431-60201++270+130+190+200+,,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Landcruiser 120,,,,0,,,,,201,Maxgear 19-2464,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Landcruiser 120,Bremsedeler,skiver foran,C1-4A,2,AP30 par,936 par,,Maxgear,43512++ 60151+60150,Maxgear 19-2488,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
MB Vito,,MB Vito,,0,,,,,,,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
MB Vito,Bremsedeler,skiver foran,B2-4C,2,PC 123,1830 par,,SRL,4474210512+6394210212+0012,SRL S71-0395,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
MB Vito,,,,0,,,,,312,,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
MB Vito,Bremsedeler,klosser foran,A3-5B,3,PC26,836,,SRL,0044206720+0044208320+,SRL S70-178,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
,,,,0,,,,,0044206720+0044209320+,,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
,,,,0,,,,,0054202120+0054205220+,,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
,,,,0,,,,,54206720,SRL S70-0178,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
